Date,Volume,PctChange,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1981-09-01,167170000,inf,inf,inf,inf,inf,inf,Up
1981-09-08,214890000,inf,inf,inf,inf,inf,inf,Up
1981-09-15,222460000,inf,inf,inf,inf,inf,inf,Up
1981-09-22,264120000,inf,inf,inf,inf,inf,inf,Up
1981-09-29,237930000,inf,inf,inf,inf,inf,inf,Up
1981-10-06,222670000,inf,inf,inf,inf,inf,inf,Up
1981-10-13,205840000,inf,inf,inf,inf,inf,inf,Up
1981-10-20,220850000,inf,inf,inf,inf,inf,inf,Up
1981-10-27,265870000,inf,inf,inf,inf,inf,inf,Up
1981-11-03,250510000,inf,inf,inf,inf,inf,inf,Up
1981-11-10,240870000,inf,inf,inf,inf,inf,inf,Up
1981-11-17,239320000,inf,inf,inf,inf,inf,inf,Up
1981-11-24,192120000,inf,inf,inf,inf,inf,inf,Up
1981-12-01,243020000,inf,inf,inf,inf,inf,inf,Up
1981-12-08,227560000,inf,inf,inf,inf,inf,inf,Up
1981-12-15,226360000,inf,inf,inf,inf,inf,inf,Up
1981-12-22,143490000,inf,inf,inf,inf,inf,inf,Up
1981-12-29,155800000,inf,inf,inf,inf,inf,inf,Up
1982-01-05,236380000,inf,inf,inf,inf,inf,inf,Up
1982-01-12,230100000,inf,inf,inf,inf,inf,inf,Up
1982-01-19,230080000,inf,inf,inf,inf,inf,inf,Up
1982-01-26,282740000,inf,inf,inf,inf,inf,inf,Up
1982-02-02,249730000,inf,inf,inf,inf,inf,inf,Up
1982-02-09,184840000,inf,inf,inf,inf,inf,inf,Up
1982-02-16,267000000,inf,inf,inf,inf,inf,inf,Up
1982-02-23,275910000,inf,inf,inf,inf,inf,inf,Up
1982-03-02,343140000,inf,inf,inf,inf,inf,inf,Up
1982-03-09,281430000,inf,inf,inf,inf,inf,inf,Up
1982-03-16,255930000,inf,inf,inf,inf,inf,inf,Up
1982-03-23,247980000,inf,inf,inf,inf,inf,inf,Up
1982-03-30,251000000,inf,inf,inf,inf,inf,inf,Up
1982-04-06,203040000,inf,inf,inf,inf,inf,inf,Up
1982-04-13,253870000,inf,inf,inf,inf,inf,inf,Up
1982-04-20,309240000,2.987909320629447,inf,inf,inf,inf,inf,Up
1982-04-27,253030000,-1.8896447516307535,2.987909320629447,inf,inf,inf,inf,Down
1982-05-04,298550000,0.8261592377597639,-1.8896447516307535,2.987909320629447,inf,inf,inf,Up
1982-05-11,267620000,-1.5437842221367646,0.8261592377597639,-1.8896447516307535,2.987909320629447,inf,inf,Down
1982-05-18,229910000,-1.3407800421593725,-1.5437842221367646,0.8261592377597639,-1.8896447516307535,2.987909320629447,inf,Down
1982-05-25,183890000,-3.134201512192235,-1.3407800421593725,-1.5437842221367646,0.8261592377597639,-1.8896447516307535,2.987909320629447,Down
1982-06-01,228060000,-1.6522268946613454,-3.134201512192235,-1.3407800421593725,-1.5437842221367646,0.8261592377597639,-1.8896447516307535,Down
1982-06-08,262250000,-0.3353600475314107,-1.6522268946613454,-3.134201512192235,-1.3407800421593725,-1.5437842221367646,0.8261592377597639,Down
1982-06-15,254650000,-2.2165468996215085,-0.3353600475314107,-1.6522268946613454,-3.134201512192235,-1.3407800421593725,-1.5437842221367646,Down
1982-06-22,253300000,2.8065287983500875,-2.2165468996215085,-0.3353600475314107,-1.6522268946613454,-3.134201512192235,-1.3407800421593725,Up
1982-06-29,203930000,-2.3671327405987226,2.8065287983500875,-2.2165468996215085,-0.3353600475314107,-1.6522268946613454,-3.134201512192235,Down
1982-07-06,295100000,2.1441252202243613,-2.3671327405987226,2.8065287983500875,-2.2165468996215085,-0.3353600475314107,-1.6522268946613454,Up
1982-07-13,297190000,1.4103863733804218,2.1441252202243613,-2.3671327405987226,2.8065287983500875,-2.2165468996215085,-0.3353600475314107,Up
1982-07-20,266720000,-0.6750067463595408,1.4103863733804218,2.1441252202243613,-2.3671327405987226,2.8065287983500875,-2.2165468996215085,Down
1982-07-27,247980000,-1.1608913064552524,-0.6750067463595408,1.4103863733804218,2.1441252202243613,-2.3671327405987226,2.8065287983500875,Down
1982-08-03,271840000,-5.413838634740263,-1.1608913064552524,-0.6750067463595408,1.4103863733804218,2.1441252202243613,-2.3671327405987226,Down
1982-08-10,251940000,0.9504371270856897,-5.413838634740263,-1.1608913064552524,-0.6750067463595408,1.4103863733804218,2.1441252202243613,Up
1982-08-17,510020000,10.161289306853591,0.9504371270856897,-5.413838634740263,-1.1608913064552524,-0.6750067463595408,1.4103863733804218,Up
1982-08-24,499150000,1.3349436255360978,10.161289306853591,0.9504371270856897,-5.413838634740263,-1.1608913064552524,-0.6750067463595408,Up
1982-08-31,374840000,4.27539202215008,1.3349436255360978,10.161289306853591,0.9504371270856897,-5.413838634740263,-1.1608913064552524,Up
1982-09-07,350610000,-0.35865865692183785,4.27539202215008,1.3349436255360978,10.161289306853591,0.9504371270856897,-5.413838634740263,Down
1982-09-14,354120000,0.1962914040675837,-0.35865865692183785,4.27539202215008,1.3349436255360978,10.161289306853591,0.9504371270856897,Up
1982-09-21,363770000,0.9060489682444441,0.1962914040675837,-0.35865865692183785,4.27539202215008,1.3349436255360978,10.161289306853591,Up
1982-09-28,311710000,-1.706844008632658,0.9060489682444441,0.1962914040675837,-0.35865865692183785,4.27539202215008,1.3349436255360978,Down
1982-10-05,571190000,10.583883970459938,-1.706844008632658,0.9060489682444441,0.1962914040675837,-0.35865865692183785,4.27539202215008,Up
1982-10-12,537720000,1.6731112964626909,10.583883970459938,-1.706844008632658,0.9060489682444441,0.1962914040675837,-0.35865865692183785,Up
1982-10-19,506830000,-2.4939578072651836,1.6731112964626909,10.583883970459938,-1.706844008632658,0.9060489682444441,0.1962914040675837,Down
1982-10-26,405700000,1.6355375829980745,-2.4939578072651836,1.6731112964626909,10.583883970459938,-1.706844008632658,0.9060489682444441,Up
1982-11-02,562920000,3.6610620536497147,1.6355375829980745,-2.4939578072651836,1.6731112964626909,10.583883970459938,-1.706844008632658,Up
1982-11-09,476850000,-2.4558635059567173,3.6610620536497147,1.6355375829980745,-2.4939578072651836,1.6731112964626909,10.583883970459938,Down
1982-11-16,410240000,-2.0077389030382338,-2.4558635059567173,3.6610620536497147,1.6355375829980745,-2.4939578072651836,1.6731112964626909,Down
1982-11-23,240030000,-0.007458285615275024,-2.0077389030382338,-2.4558635059567173,3.6610620536497147,1.6355375829980745,-2.4939578072651836,Down
1982-11-30,434340000,5.640840161224688,-0.007458285615275024,-2.0077389030382338,-2.4558635059567173,3.6610620536497147,1.6355375829980745,Up
1982-12-07,448940000,-1.2976912511572691,5.640840161224688,-0.007458285615275024,-2.0077389030382338,-2.4558635059567173,3.6610620536497147,Down
1982-12-14,391310000,-2.671623220521049,-1.2976912511572691,5.640840161224688,-0.007458285615275024,-2.0077389030382338,-2.4558635059567173,Down
1982-12-21,289050000,4.352607484355094,-2.671623220521049,-1.2976912511572691,5.640840161224688,-0.007458285615275024,-2.0077389030382338,Up
1982-12-28,270990000,-2.7007993639774077,4.352607484355094,-2.671623220521049,-1.2976912511572691,5.640840161224688,-0.007458285615275024,Down
1983-01-04,529510000,6.108578642659417,-2.7007993639774077,4.352607484355094,-2.671623220521049,-1.2976912511572691,5.640840161224688,Up
1983-01-11,460820000,-0.047681768942692375,6.108578642659417,-2.7007993639774077,4.352607484355094,-2.671623220521049,-1.2976912511572691,Down
1983-01-18,409980000,-4.594100732548729,-0.047681768942692375,6.108578642659417,-2.7007993639774077,4.352607484355094,-2.671623220521049,Down
1983-01-25,398210000,3.8005482830373563,-4.594100732548729,-0.047681768942692375,6.108578642659417,-2.7007993639774077,4.352607484355094,Up
1983-02-01,411890000,1.1287765609697824,3.8005482830373563,-4.594100732548729,-0.047681768942692375,6.108578642659417,-2.7007993639774077,Up
1983-02-08,413950000,1.3611924723995878,1.1287765609697824,3.8005482830373563,-4.594100732548729,-0.047681768942692375,6.108578642659417,Up
1983-02-15,323490000,-0.6311282570148015,1.3611924723995878,1.1287765609697824,3.8005482830373563,-4.594100732548729,-0.047681768942692375,Down
1983-02-22,466120000,0.033783564362947854,-0.6311282570148015,1.3611924723995878,1.1287765609697824,3.8005482830373563,-4.594100732548729,Up
1983-03-01,505740000,3.781988632218168,0.033783564362947854,-0.6311282570148015,1.3611924723995878,1.1287765609697824,3.8005482830373563,Up
1983-03-08,388200000,-1.8225626262875068,3.781988632218168,0.033783564362947854,-0.6311282570148015,1.3611924723995878,1.1287765609697824,Down
1983-03-15,363540000,0.2386797095943821,-1.8225626262875068,3.781988632218168,0.033783564362947854,-0.6311282570148015,1.3611924723995878,Up
1983-03-22,402770000,0.423252007957053,0.2386797095943821,-1.8225626262875068,3.781988632218168,0.033783564362947854,-0.6311282570148015,Up
1983-03-29,307680000,0.7704959643845709,0.423252007957053,0.2386797095943821,-1.8225626262875068,3.781988632218168,0.033783564362947854,Up
1983-04-05,372580000,1.372194325433174,0.7704959643845709,0.423252007957053,0.2386797095943821,-1.8225626262875068,3.781988632218168,Up
1983-04-12,448730000,2.9584349192705286,1.372194325433174,0.7704959643845709,0.423252007957053,0.2386797095943821,-1.8225626262875068,Up
1983-04-19,490040000,-0.582201015768784,2.9584349192705286,1.372194325433174,0.7704959643845709,0.423252007957053,0.2386797095943821,Down
1983-04-26,497680000,2.077956742326792,-0.582201015768784,2.9584349192705286,1.372194325433174,0.7704959643845709,0.423252007957053,Up
1983-05-03,520970000,2.288705314859123,2.077956742326792,-0.582201015768784,2.9584349192705286,1.372194325433174,0.7704959643845709,Up
1983-05-10,447250000,-1.4594218555319778,2.288705314859123,2.077956742326792,-0.582201015768784,2.9584349192705286,1.372194325433174,Down
1983-05-17,420660000,0.01835910674261074,-1.4594218555319778,2.288705314859123,2.077956742326792,-0.582201015768784,2.9584349192705286,Up
1983-05-24,402170000,0.6179319574688203,0.01835910674261074,-1.4594218555319778,2.288705314859123,2.077956742326792,-0.582201015768784,Up
1983-05-31,418900000,0.23716819743261874,0.6179319574688203,0.01835910674261074,-1.4594218555319778,2.288705314859123,2.077956742326792,Up
1983-06-07,441760000,0.0,0.23716819743261874,0.6179319574688203,0.01835910674261074,-1.4594218555319778,2.288705314859123,Zero
1983-06-14,493580000,2.5171403397711414,0.0,0.23716819743261874,0.6179319574688203,0.01835910674261074,-1.4594218555319778,Up
1983-06-21,452910000,-0.33721355353846294,2.5171403397711414,0.0,0.23716819743261874,0.6179319574688203,0.01835910674261074,Down
1983-06-28,305730000,0.11279456506290705,-0.33721355353846294,2.5171403397711414,0.0,0.23716819743261874,0.6179319574688203,Up
1983-07-05,378250000,0.93665417592875,0.11279456506290705,-0.33721355353846294,2.5171403397711414,0.0,0.23716819743261874,Up
1983-07-12,354890000,-2.439753662041209,0.93665417592875,0.11279456506290705,-0.33721355353846294,2.5171403397711414,0.0,Down
1983-07-19,427700000,3.403477849905818,-2.439753662041209,0.93665417592875,0.11279456506290705,-0.33721355353846294,2.5171403397711414,Up
1983-07-26,441430000,-4.468813848165599,3.403477849905818,-2.439753662041209,0.93665417592875,0.11279456506290705,-0.33721355353846294,Down
1983-08-02,395010000,-1.7771226250766894,-4.468813848165599,3.403477849905818,-2.439753662041209,0.93665417592875,0.11279456506290705,Down
1983-08-09,389990000,2.8266332200138193,-1.7771226250766894,-4.468813848165599,3.403477849905818,-2.439753662041209,0.93665417592875,Up
1983-08-16,377230000,0.36642898778430255,2.8266332200138193,-1.7771226250766894,-4.468813848165599,3.403477849905818,-2.439753662041209,Up
1983-08-23,323820000,-1.2657468556430174,0.36642898778430255,2.8266332200138193,-1.7771226250766894,-4.468813848165599,3.403477849905818,Down
1983-08-30,278590000,1.694915254237288,-1.2657468556430174,0.36642898778430255,2.8266332200138193,-1.7771226250766894,-4.468813848165599,Up
1983-09-06,453000000,0.16949078963034103,1.694915254237288,-1.2657468556430174,0.36642898778430255,2.8266332200138193,-1.7771226250766894,Up
1983-09-13,378920000,1.2932073029370403,0.16949078963034103,1.694915254237288,-1.2657468556430174,0.36642898778430255,2.8266332200138193,Up
1983-09-20,470960000,1.4495394556296821,1.2932073029370403,0.16949078963034103,1.694915254237288,-1.2657468556430174,0.36642898778430255,Up
1983-09-27,378740000,-2.47618315967135,1.4495394556296821,1.2932073029370403,0.16949078963034103,1.694915254237288,-1.2657468556430174,Down
1983-10-04,480930000,4.125201398349647,-2.47618315967135,1.4495394556296821,1.2932073029370403,0.16949078963034103,1.694915254237288,Up
1983-10-11,372220000,-1.2515230940040094,4.125201398349647,-2.47618315967135,1.4495394556296821,1.2932073029370403,0.16949078963034103,Down
1983-10-18,461930000,-2.5937433683232163,-1.2515230940040094,4.125201398349647,-2.47618315967135,1.4495394556296821,1.2932073029370403,Down
1983-10-25,402310000,-1.4759017760495106,-2.5937433683232163,-1.2515230940040094,4.125201398349647,-2.47618315967135,1.4495394556296821,Down
1983-11-01,406500000,-1.002751060254909,-1.4759017760495106,-2.5937433683232163,-1.2515230940040094,4.125201398349647,-2.47618315967135,Down
1983-11-08,397880000,2.884317252373825,-1.002751060254909,-1.4759017760495106,-2.5937433683232163,-1.2515230940040094,4.125201398349647,Up
1983-11-15,427980000,-0.3181647097317236,2.884317252373825,-1.002751060254909,-1.4759017760495106,-2.5937433683232163,-1.2515230940040094,Down
1983-11-22,361660000,0.2950859532488355,-0.3181647097317236,2.884317252373825,-1.002751060254909,-1.4759017760495106,-2.5937433683232163,Up
1983-11-29,509850000,-0.4683552364246568,0.2950859532488355,-0.3181647097317236,2.884317252373825,-1.002751060254909,-1.4759017760495106,Down
