Date,PctChange,BVolume,Lag1,VLag1,Lag2,VLag2,Lag3,VLag3,Lag4,VLag4,Lag5,VLag5,Direction
1985-01-02,-0.4856382749454642,0.04821,,,,,,,,,,,Down
1985-01-03,0.16259914491234756,0.05225,-0.4856382749454642,0.04821,,,,,,,,,Up
1985-01-04,0.0,0.0558,0.16259914491234756,0.05225,-0.4856382749454642,0.04821,,,,,,,Zero
1985-01-07,-0.04065288760797764,0.0532,0.0,0.0558,0.16259914491234756,0.05225,-0.4856382749454642,0.04821,,,,,Down
1985-01-08,-0.04063636775106783,0.06485,-0.04065288760797764,0.0532,0.0,0.0558,0.16259914491234756,0.05225,-0.4856382749454642,0.04821,,,Down
1985-01-09,0.48760541181678785,0.06667,-0.04063636775106783,0.06485,-0.04065288760797764,0.0532,0.0,0.0558,0.16259914491234756,0.05225,-0.4856382749454642,0.04821,Up
1985-01-10,1.1294889555047791,0.08159,0.48760541181678785,0.06667,-0.04063636775106783,0.06485,-0.04065288760797764,0.0532,0.0,0.0558,0.16259914491234756,0.05225,Up
1985-01-11,0.19864918794687808,0.07152,1.1294889555047791,0.08159,0.48760541181678785,0.06667,-0.04063636775106783,0.06485,-0.04065288760797764,0.0532,0.0,0.0558,Up
1985-01-14,1.108034462038916,0.07332,0.19864918794687808,0.07152,1.1294889555047791,0.08159,0.48760541181678785,0.06667,-0.04063636775106783,0.06485,-0.04065288760797764,0.0532,Up
1985-01-15,0.19432569907555336,0.09078,1.108034462038916,0.07332,0.19864918794687808,0.07152,1.1294889555047791,0.08159,0.48760541181678785,0.06667,-0.04063636775106783,0.06485,Up
1985-01-16,0.42454885279939,0.08977,0.19432569907555336,0.09078,1.108034462038916,0.07332,0.19864918794687808,0.07152,1.1294889555047791,0.08159,0.48760541181678785,0.06667,Up
1985-01-17,0.23024024921829447,0.08699,0.42454885279939,0.08977,0.19432569907555336,0.09078,1.108034462038916,0.07332,0.19864918794687808,0.07152,1.1294889555047791,0.08159,Up
1985-01-18,0.38153375685350155,0.07828,0.23024024921829447,0.08699,0.42454885279939,0.08977,0.19432569907555336,0.09078,1.108034462038916,0.07332,0.19864918794687808,0.07152,Up
1985-01-21,0.9473285554453756,0.08547,0.38153375685350155,0.07828,0.23024024921829447,0.08699,0.42454885279939,0.08977,0.19432569907555336,0.09078,1.108034462038916,0.07332,Up
1985-01-22,0.0,0.1073,0.9473285554453756,0.08547,0.38153375685350155,0.07828,0.23024024921829447,0.08699,0.42454885279939,0.08977,0.19432569907555336,0.09078,Zero
1985-01-23,0.7068543528081963,0.1009,0.0,0.1073,0.9473285554453756,0.08547,0.38153375685350155,0.07828,0.23024024921829447,0.08699,0.42454885279939,0.08977,Up
1985-01-24,0.1102896297679228,0.1086,0.7068543528081963,0.1009,0.0,0.1073,0.9473285554453756,0.08547,0.38153375685350155,0.07828,0.23024024921829447,0.08699,Up
1985-01-25,0.5135707502342274,0.08651,0.1102896297679228,0.1086,0.7068543528081963,0.1009,0.0,0.1073,0.9473285554453756,0.08547,0.38153375685350155,0.07828,Up
1985-01-28,0.0,0.09074,0.5135707502342274,0.08651,0.1102896297679228,0.1086,0.7068543528081963,0.1009,0.0,0.1073,0.9473285554453756,0.08547,Zero
1985-01-29,0.5094703334256561,0.08832,0.0,0.09074,0.5135707502342274,0.08651,0.1102896297679228,0.1086,0.7068543528081963,0.1009,0.0,0.1073,Up
1985-01-30,-0.035883063916529664,0.1087,0.5094703334256561,0.08832,0.0,0.09074,0.5135707502342274,0.08651,0.1102896297679228,0.1086,0.7068543528081963,0.1009,Down
1985-01-31,0.17972680735467017,0.09229,-0.035883063916529664,0.1087,0.5094703334256561,0.08832,0.0,0.09074,0.5135707502342274,0.08651,0.1102896297679228,0.1086,Up
1985-02-01,0.17992083878427367,0.08533,0.17972680735467017,0.09229,-0.035883063916529664,0.1087,0.5094703334256561,0.08832,0.0,0.09074,0.5135707502342274,0.08651,Up
1985-02-04,0.7173601461866489,0.08844,0.17992083878427367,0.08533,0.17972680735467017,0.09229,-0.035883063916529664,0.1087,0.5094703334256561,0.08832,0.0,0.09074,Up
1985-02-05,0.28389579318741065,0.09895,0.7173601461866489,0.08844,0.17992083878427367,0.08533,0.17972680735467017,0.09229,-0.035883063916529664,0.1087,0.5094703334256561,0.08832,Up
1985-02-06,0.2466568841228798,0.1023,0.28389579318741065,0.09895,0.7173601461866489,0.08844,0.17992083878427367,0.08533,0.17972680735467017,0.09229,-0.035883063916529664,0.1087,Up
1985-02-07,0.5604224530702715,0.11023,0.2466568841228798,0.1023,0.28389579318741065,0.09895,0.7173601461866489,0.08844,0.17992083878427367,0.08533,0.17972680735467017,0.09229,Up
1985-02-08,0.2084802393901574,0.1034,0.5604224530702715,0.11023,0.2466568841228798,0.1023,0.28389579318741065,0.09895,0.7173601461866489,0.08844,0.17992083878427367,0.08533,Up
1985-02-11,-0.41580463674724494,0.09595,0.2084802393901574,0.1034,0.5604224530702715,0.11023,0.2466568841228798,0.1023,0.28389579318741065,0.09895,0.7173601461866489,0.08844,Down
1985-02-12,0.10479159040824912,0.08927,-0.41580463674724494,0.09595,0.2084802393901574,0.1034,0.5604224530702715,0.11023,0.2466568841228798,0.1023,0.28389579318741065,0.09895,Up
1985-02-13,0.5580661031790012,0.1133,0.10479159040824912,0.08927,-0.41580463674724494,0.09595,0.2084802393901574,0.1034,0.5604224530702715,0.11023,0.2466568841228798,0.1023,Up
