Date,PctChange,BVolume,Lag1,VLag1,Lag2,VLag2,Lag3,VLag3,Lag4,VLag4,Lag5,VLag5,Direction
1985-01-02,-1.0944987227608478,0.06782,,,,,,,,,,,Down
1985-01-03,-0.48375631407731984,0.08888,-1.0944987227608478,0.06782,,,,,,,,,Down
1985-01-04,-0.5287209722523725,0.07748,-0.48375631407731984,0.08888,-1.0944987227608478,0.06782,,,,,,,Down
1985-01-07,0.3421388333588765,0.08619,-0.5287209722523725,0.07748,-0.48375631407731984,0.08888,-1.0944987227608478,0.06782,,,,,Up
1985-01-08,-0.15221626378379866,0.09211,0.3421388333588765,0.08619,-0.5287209722523725,0.07748,-0.48375631407731984,0.08888,-1.0944987227608478,0.06782,,,Down
1985-01-09,0.7256461630320467,0.09923,-0.15221626378379866,0.09211,0.3421388333588765,0.08619,-0.5287209722523725,0.07748,-0.48375631407731984,0.08888,-1.0944987227608478,0.06782,Up
1985-01-10,1.8949055706499147,0.1247,0.7256461630320467,0.09923,-0.15221626378379866,0.09211,0.3421388333588765,0.08619,-0.5287209722523725,0.07748,-0.48375631407731984,0.08888,Up
1985-01-11,-0.23765308198351384,0.1076,1.8949055706499147,0.1247,0.7256461630320467,0.09923,-0.15221626378379866,0.09211,0.3421388333588765,0.08619,-0.5287209722523725,0.07748,Down
1985-01-14,1.54844308738067,0.1249,-0.23765308198351384,0.1076,1.8949055706499147,0.1247,0.7256461630320467,0.09923,-0.15221626378379866,0.09211,0.3421388333588765,0.08619,Up
1985-01-15,0.17594455540597947,0.1553,1.54844308738067,0.1249,-0.23765308198351384,0.1076,1.8949055706499147,0.1247,0.7256461630320467,0.09923,-0.15221626378379866,0.09211,Up
1985-01-16,0.22247227225803637,0.1355,0.17594455540597947,0.1553,1.54844308738067,0.1249,-0.23765308198351384,0.1076,1.8949055706499147,0.1247,0.7256461630320467,0.09923,Up
1985-01-17,-0.2687112023522726,0.1136,0.22247227225803637,0.1355,0.17594455540597947,0.1553,1.54844308738067,0.1249,-0.23765308198351384,0.1076,1.8949055706499147,0.1247,Down
1985-01-18,0.34558168537722134,0.1047,-0.2687112023522726,0.1136,0.22247227225803637,0.1355,0.17594455540597947,0.1553,1.54844308738067,0.1249,-0.23765308198351384,0.1076,Up
1985-01-21,2.2822719099706545,0.1468,0.34558168537722134,0.1047,-0.2687112023522726,0.1136,0.22247227225803637,0.1355,0.17594455540597947,0.1553,1.54844308738067,0.1249,Up
1985-01-22,0.14266963767363153,0.1748,2.2822719099706545,0.1468,0.34558168537722134,0.1047,-0.2687112023522726,0.1136,0.22247227225803637,0.1355,0.17594455540597947,0.1553,Up
1985-01-23,1.0371594304370761,0.1444,0.14266963767363153,0.1748,2.2822719099706545,0.1468,0.34558168537722134,0.1047,-0.2687112023522726,0.1136,0.22247227225803637,0.1355,Up
1985-01-24,-0.33276724632564836,0.1607,1.0371594304370761,0.1444,0.14266963767363153,0.1748,2.2822719099706545,0.1468,0.34558168537722134,0.1047,-0.2687112023522726,0.1136,Down
1985-01-25,0.36217495633098973,0.1224,-0.33276724632564836,0.1607,1.0371594304370761,0.1444,0.14266963767363153,0.1748,2.2822719099706545,0.1468,0.34558168537722134,0.1047,Up
1985-01-28,0.028185955031528518,0.1284,0.36217495633098973,0.1224,-0.33276724632564836,0.1607,1.0371594304370761,0.1444,0.14266963767363153,0.1748,2.2822719099706545,0.1468,Up
1985-01-29,1.0033815335616818,0.1157,0.028185955031528518,0.1284,0.36217495633098973,0.1224,-0.33276724632564836,0.1607,1.0371594304370761,0.1444,0.14266963767363153,0.1748,Up
1985-01-30,0.11720433220866681,0.17,1.0033815335616818,0.1157,0.028185955031528518,0.1284,0.36217495633098973,0.1224,-0.33276724632564836,0.1607,1.0371594304370761,0.1444,Up
1985-01-31,0.13378978425812507,0.1325,0.11720433220866681,0.17,1.0033815335616818,0.1157,0.028185955031528518,0.1284,0.36217495633098973,0.1224,-0.33276724632564836,0.1607,Up
1985-02-01,-0.5566998679604683,0.1054,0.13378978425812507,0.1325,0.11720433220866681,0.17,1.0033815335616818,0.1157,0.028185955031528518,0.1284,0.36217495633098973,0.1224,Down
1985-02-04,0.9628848310402868,0.1137,-0.5566998679604683,0.1054,0.13378978425812507,0.1325,0.11720433220866681,0.17,1.0033815335616818,0.1157,0.028185955031528518,0.1284,Up
1985-02-05,0.14416107459775093,0.1439,0.9628848310402868,0.1137,-0.5566998679604683,0.1054,0.13378978425812507,0.1325,0.11720433220866681,0.17,1.0033815335616818,0.1157,Up
1985-02-06,-0.0996666485587706,0.141,0.14416107459775093,0.1439,0.9628848310402868,0.1137,-0.5566998679604683,0.1054,0.13378978425812507,0.1325,0.11720433220866681,0.17,Down
1985-02-07,0.7703900154423045,0.1517,-0.0996666485587706,0.141,0.14416107459775093,0.1439,0.9628848310402868,0.1137,-0.5566998679604683,0.1054,0.13378978425812507,0.1325,Up
1985-02-08,0.2034952713029706,0.1165,0.7703900154423045,0.1517,-0.0996666485587706,0.141,0.14416107459775093,0.1439,0.9628848310402868,0.1137,-0.5566998679604683,0.1054,Up
1985-02-11,-0.922118619055739,0.104,0.2034952713029706,0.1165,0.7703900154423045,0.1517,-0.0996666485587706,0.141,0.14416107459775093,0.1439,0.9628848310402868,0.1137,Down
1985-02-12,0.027700987911735205,0.1111,-0.922118619055739,0.104,0.2034952713029706,0.1165,0.7703900154423045,0.1517,-0.0996666485587706,0.141,0.14416107459775093,0.1439,Up
